task,item_id,entity_type,entity,correct,intuitive,intuitive_2,question,prefix,population_correct,population_intuitive,population_ratio,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_intuitive_first_token,logits_intuitive,logits_deltas_intuitive,mean_logprob_correct,mean_logprob_intuitive,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_intuitive,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_intuitive,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_intuitive_first_token,control_logits_intuitive,control_logits_deltas_intuitive,control_mean_logprob_correct,control_mean_logprob_intuitive,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_intuitive,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_intuitive,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,21,1.6096953,297,"[3.6792409420013428, 12.387673377990723]","[3.5861268043518066, 7.766846179962158]",1,[13.818410873413086],[15.135098457336426],-5.9067287,-0.3894275,intuitive,False,-11.8134575,-0.3894275,intuitive,False,-10.528589,-0.3894275,intuitive,False,2.342212,7495,"[0.9147177934646606, 12.411276817321777]","[0.2699049711227417, 6.022346019744873]",14926,[0.010846209712326527],[1.5749751329421997],-8.361847,-14.545513,correct,True,-16.723694,-14.545513,intuitive,False,-13.641642,-14.545513,correct,True,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,22,0.6864442,195,"[4.289975643157959, 12.971012115478516]","[4.50177001953125, 12.767841339111328]",1,[16.594669342041016],[14.753713607788086],-6.9270525,-0.22278911,intuitive,False,-13.854105,-0.22278911,intuitive,False,-12.527488,-0.22278911,intuitive,False,1.7577032,5969,"[0.8777408003807068, 12.86645793914795]","[-0.989180862903595, 12.486908912658691]",8561,[0.47315713763237],[1.2069038152694702],-8.3239565,-14.125759,correct,True,-16.647913,-14.125759,intuitive,False,-13.721175,-14.125759,correct,True,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,23,0.40614104,116,"[5.140105247497559, 14.975296020507812]","[4.270915985107422, 7.941239356994629]",1,[19.143646240234375],[1.7266665697097778],-7.2620316,-0.13713183,intuitive,False,-14.524063,-0.13713183,intuitive,False,-14.140667,-0.13713183,intuitive,False,1.6417124,9154,"[0.5746999979019165, 15.398932456970215]","[-0.4208243787288666, 1.6896955966949463]",8178,[0.711676836013794],[-0.6516193747520447],-7.5086126,-14.062273,correct,True,-15.017225,-14.062273,intuitive,False,-14.199249,-14.062273,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,24,0.5982641,85,"[5.804608345031738, 15.712366104125977]","[1.4525812864303589, 7.686370849609375]",1,[17.69673728942871],[6.483454704284668],-6.20781,-0.21057877,intuitive,False,-12.41562,-0.21057877,intuitive,False,-12.102696,-0.21057877,intuitive,False,1.5138847,9493,"[0.43007197976112366, 14.28532600402832]","[0.3231801390647888, 4.081740856170654]",8929,[0.502468466758728],[-0.930342972278595],-8.184123,-14.598047,correct,True,-16.368246,-14.598047,intuitive,False,-14.670444,-14.598047,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,25,0.6333636,85,"[5.758582592010498, 16.46875]","[5.943155288696289, 10.433857917785645]",1,[18.026044845581055],[9.690435409545898],-6.3180313,-0.2878035,intuitive,False,-12.636063,-0.2878035,intuitive,False,-12.555266,-0.2878035,intuitive,False,1.1159842,8810,"[0.46978312730789185, 14.397627830505371]","[-1.3467844724655151, 6.534876346588135]",10275,[0.28551626205444336],[1.1158567667007446],-8.431123,-15.377295,correct,True,-16.862246,-15.377295,intuitive,False,-15.193028,-15.377295,correct,True,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,26,0.43999994,31,"[6.85018253326416, 17.618446350097656]","[5.940664768218994, 7.42572546005249]",1,[19.01224136352539],[3.6472976207733154],-6.173248,-0.15997809,intuitive,False,-12.346496,-0.15997809,intuitive,False,-12.322033,-0.15997809,intuitive,False,0.31640756,10946,"[0.13176095485687256, 15.230594635009766]","[0.2750662565231323, 4.987216472625732]",8018,[0.5127004981040955],[0.9472448229789734],-8.451849,-15.89071,correct,True,-16.903698,-15.89071,intuitive,False,-16.271648,-15.89071,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,27,0.4451488,17,"[7.811193943023682, 18.332294464111328]","[9.163442611694336, 7.044203758239746]",1,[19.053394317626953],[4.532522201538086],-5.7073236,-0.16255271,intuitive,False,-11.414647,-0.16255271,intuitive,False,-11.404762,-0.16255271,intuitive,False,0.3162811,10551,"[0.17019645869731903, 15.507219314575195]","[-2.0595314502716064, 4.433341026306152]",7042,[0.6425635814666748],[0.04614662006497383],-8.5672455,-16.094776,correct,True,-17.134491,-16.094776,intuitive,False,-16.567142,-16.094776,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,28,0.47095895,10,"[9.430697441101074, 18.5694580078125]","[5.168642997741699, 6.469318389892578]",1,[18.365549087524414],[1.0346224308013916],-4.551493,-0.16144046,intuitive,False,-9.102986,-0.16144046,intuitive,False,-9.096281,-0.16144046,intuitive,False,0.33577493,12879,"[-0.1887354552745819, 15.716743469238281]","[-2.1347458362579346, 4.022970199584961]",6607,[0.6159948706626892],[2.8821024894714355],-8.578698,-15.878691,correct,True,-17.157396,-15.878691,intuitive,False,-16.68342,-15.878691,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,29,0.52021986,9,"[10.018778800964355, 19.20856475830078]","[4.026732444763184, 5.022007942199707]",1,[17.640233993530273],[-5.786656856536865],-3.8976247,-0.17058569,intuitive,False,-7.7952495,-0.17058569,intuitive,False,-7.792041,-0.17058569,intuitive,False,0.3315928,16261,"[-0.5106818079948425, 15.955177307128906]","[0.017145808786153793, 2.862614870071411]",4426,[1.036085605621338],[-0.33805176615715027],-8.671166,-15.356313,correct,True,-17.342333,-15.356313,intuitive,False,-16.903078,-15.356313,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,30,0.800464,6,"[10.343308448791504, 19.4263916015625]","[3.350032091140747, 3.1646814346313477]",1,[15.67470932006836],[-3.886089563369751],-2.757959,-0.1830637,intuitive,False,-5.515918,-0.1830637,intuitive,False,-5.5144596,-0.1830637,intuitive,False,0.51672274,14564,"[-0.4892497658729553, 15.968201637268066]","[0.09606283158063889, 2.537543773651123]",4169,[0.9495758414268494],[-1.6790651082992554],-8.258917,-14.7443285,correct,True,-16.517834,-14.7443285,intuitive,False,-16.183153,-14.7443285,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,31,1.3262491,5,"[10.561914443969727, 19.263187408447266]","[18.259204864501953, 6.737205982208252]",1,[14.473549842834473],[16.590747833251953],-2.0936913,-0.27465045,intuitive,False,-4.1873827,-0.27465045,intuitive,False,-4.1862855,-0.27465045,intuitive,False,0.53271955,13922,"[-0.46263596415519714, 15.849088668823242]","[0.6139759421348572, 1.874060869216919]",5207,[0.6818976998329163],[-1.3442014455795288],-8.237465,-14.902258,correct,True,-16.47493,-14.902258,intuitive,False,-16.046791,-14.902258,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,32,0.56207037,3,"[13.29359245300293, 19.889842987060547]","[2.0074143409729004, 7.0115461349487305]",1,[16.704885482788086],[-2.9543495178222656],-1.769434,-0.12707724,intuitive,False,-3.538868,-0.12707724,intuitive,False,-3.53838,-0.12707724,intuitive,False,0.50871783,11942,"[-0.3659767806529999, 15.785957336425781]","[-1.1331194639205933, 3.1021888256073]",5764,[0.4788428246974945],[0.8172591924667358],-8.186829,-15.256453,correct,True,-16.373657,-15.256453,intuitive,False,-16.101273,-15.256453,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,33,0.8866322,2,"[13.04021167755127, 19.97506332397461]","[5.818004131317139, 1.669905424118042]",1,[15.42408275604248],[-0.5306523442268372],-1.29118,-0.19811943,intuitive,False,-2.58236,-0.19811943,intuitive,False,-2.5819821,-0.19811943,intuitive,False,0.8971205,11038,"[-0.5504676103591919, 15.805875778198242]","[0.45232853293418884, -0.4213092029094696]",4027,[0.6039687395095825],[-0.10175283253192902],-7.8802056,-14.38581,correct,True,-15.760411,-14.38581,intuitive,False,-15.540246,-14.38581,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,34,1.2098241,2,"[13.430567741394043, 19.683259963989258]","[1.6510072946548462, 3.6085095405578613]",1,[14.622344970703125],[-10.425861358642578],-0.7815274,-0.37087375,intuitive,False,-1.5630548,-0.37087375,intuitive,False,-1.5626504,-0.37087375,intuitive,False,0.85992396,9226,"[-0.47365647554397583, 15.212414741516113]","[0.4614883065223694, -0.252084344625473]",3746,[0.5741807818412781],[0.8109049201011658],-7.9525905,-14.468678,correct,True,-15.905181,-14.468678,intuitive,False,-15.516516,-14.468678,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,35,2.109761,1,"[13.480735778808594, 19.83296775817871]","[5.9768877029418945, 10.799488067626953]",2,[12.68939208984375],[3.318293571472168],-0.36409426,-1.5192821,correct,True,-0.7281885,-1.5192821,correct,True,-0.7279325,-1.5192821,correct,True,0.79906625,8382,"[-0.40075045824050903, 14.7545166015625]","[4.1909942626953125, 5.46308708190918]",3388,[0.6727635860443115],[0.3731975555419922],-7.999714,-14.508385,correct,True,-15.999428,-14.508385,intuitive,False,-15.581899,-14.508385,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,36,2.3328426,1,"[13.759627342224121, 21.03441047668457]","[7.254697799682617, 3.4696743488311768]",2,[12.501504898071289],[-0.5976284742355347],-0.3798659,-2.0177534,correct,True,-0.7597318,-2.0177534,correct,True,-0.75963396,-2.0177534,correct,True,1.3316365,4515,"[0.25889214873313904, 15.317643165588379]","[2.021108627319336, 0.9905667304992676]",3116,[0.7056138515472412],[0.5976402163505554],-7.3715224,-13.780582,correct,True,-14.743045,-13.780582,intuitive,False,-14.227304,-13.780582,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,37,2.5007885,1,"[14.332097053527832, 21.183263778686523]","[4.998516082763672, 2.5038812160491943]",7,[11.547648429870605],[4.543838024139404],-0.44367668,-3.671723,correct,True,-0.88735336,-3.671723,correct,True,-0.8872717,-3.671723,correct,True,1.3600236,3318,"[0.5971348285675049, 14.930724143981934]","[2.7344539165496826, -4.170282363891602]",2922,[0.778689444065094],[-1.4397733211517334],-7.3480372,-13.9311495,correct,True,-14.6960745,-13.9311495,intuitive,False,-14.112704,-13.9311495,intuitive,False,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,38,2.9670682,3,"[14.46221923828125, 21.03251838684082]","[8.396622657775879, 9.992058753967285]",11,[11.799871444702148],[9.363794326782227],-0.9418146,-4.5457253,correct,True,-1.8836292,-4.5457253,correct,True,-1.8833807,-4.5457253,correct,True,1.5305156,2918,"[1.2299751043319702, 13.352211952209473]","[3.651061534881592, 7.823065280914307]",4536,[0.37470459938049316],[4.469494342803955],-7.366781,-14.734478,correct,True,-14.733562,-14.734478,correct,True,-13.879208,-14.734478,correct,True,The capital
capitals-recall,23,state,Maryland,Annapolis,Baltimore,,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,The capital of Maryland is,39,3.698123,1,"[15.331658363342285, 22.892343521118164]",,7,[13.765775680541992],,-0.7813861,-3.128128,correct,True,-1.5627722,-3.128128,correct,True,-1.5622448,-3.128128,correct,True,2.6219797,2939,"[2.9347400665283203, 15.797502517700195]",,3550,[2.5754387378692627],,-6.5172358,-12.982503,correct,True,-13.0344715,-12.982503,intuitive,False,-12.623201,-12.982503,correct,True,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,0,6.2069483,8712,"[0.4127935469150543, 0.678969144821167, 3.3805627822875977]","[1.4715895652770996, -0.9595056176185608, 1.3864558935165405]",12435,[0.05446602404117584],[-0.7014949321746826],-9.681419,-11.333405,correct,True,-29.044258,-11.333405,intuitive,False,-10.975077,-11.333405,correct,True,8.823871,14257,"[0.5330700874328613, 0.5082176327705383, 3.02223539352417]","[1.2589020729064941, -0.3644532263278961, 1.4362382888793945]",15854,[0.3523578643798828],[-0.39643076062202454],-10.1224375,-11.542886,correct,True,-30.367313,-11.542886,intuitive,False,-11.362174,-11.542886,correct,True,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,1,6.1970224,3204,"[1.0611644983291626, 0.05888233706355095, 2.7859866619110107]","[1.0579688549041748, -0.32685261964797974, 1.2163078784942627]",13747,[-0.31928953528404236],[-2.637342691421509],-9.9066725,-11.582995,correct,True,-29.720016,-11.582995,intuitive,False,-10.202541,-11.582995,correct,True,8.450949,6663,"[1.0713751316070557, 0.1792874038219452, 2.6291310787200928]","[-0.856192946434021, -0.3687080144882202, 0.8787308931350708]",15376,[-0.00694749690592289],[-0.5649744272232056],-10.175403,-11.549549,correct,True,-30.526207,-11.549549,intuitive,False,-10.471228,-11.549549,correct,True,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,2,9.183296,2583,"[1.2839683294296265, -0.09383783489465714, 2.653946876525879]","[-1.4842427968978882, 0.451905220746994, -1.048990249633789]",27419,[-1.6535319089889526],[0.6448515057563782],-9.992101,-12.471043,correct,True,-29.976301,-12.471043,intuitive,False,-9.533543,-12.471043,correct,True,8.443717,17526,"[0.3218672275543213, -0.04883800446987152, 2.359128475189209]","[0.34516942501068115, -0.7774857878684998, -0.5343602895736694]",22600,[-0.2854847013950348],[0.08190811425447464],-11.2095995,-12.399747,correct,True,-33.6288,-12.399747,intuitive,False,-11.792396,-12.399747,correct,True,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,3,9.421846,15372,"[0.1038036122918129, 0.1715717911720276, 1.3538830280303955]","[-1.8873872756958008, 1.3646550178527832, 2.701444149017334]",24506,[-0.839280366897583],[1.717602014541626],-10.674298,-12.12831,correct,True,-32.022896,-12.12831,intuitive,False,-11.185226,-12.12831,correct,True,8.994111,17518,"[0.4085688292980194, -0.5531309247016907, 1.5366910696029663]","[0.471679151058197, 1.197830080986023, 1.0401289463043213]",22375,[-0.16278032958507538],[1.2968215942382812],-11.3128395,-12.253284,correct,True,-33.93852,-12.253284,intuitive,False,-11.681936,-12.253284,correct,True,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,4,9.216175,24005,"[-1.0564786195755005, 0.8373880982398987, 2.332752227783203]","[2.7460360527038574, 0.2032157927751541, -0.4429779350757599]",10955,[0.40245017409324646],[0.4320586025714874],-10.566169,-10.830603,correct,True,-31.698505,-10.830603,intuitive,False,-12.289532,-10.830603,intuitive,False,8.756826,15272,"[0.5369917154312134, 0.15680141746997833, 1.7866982221603394]","[0.3801494240760803, -0.3805650472640991, 0.1819595843553543]",16074,[0.4522789716720581],[0.24657033383846283],-10.996366,-11.5217495,correct,True,-32.989098,-11.5217495,intuitive,False,-11.4370365,-11.5217495,correct,True,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,5,8.992623,4883,"[1.0805093050003052, 0.8297137022018433, 1.8013206720352173]","[-0.8803372383117676, 0.45483559370040894, 0.6497144103050232]",7789,[0.5651137828826904],[-1.5714455842971802],-9.935836,-10.601006,correct,True,-29.807507,-10.601006,intuitive,False,-10.085611,-10.601006,correct,True,8.708358,14405,"[0.615918755531311, -0.08774695545434952, 1.6508010625839233]","[-3.0091490745544434, -0.2247604876756668, 0.8225650191307068]",15522,[0.48703357577323914],[-0.25295308232307434],-11.212064,-11.525171,correct,True,-33.636192,-11.525171,intuitive,False,-11.396286,-11.525171,correct,True,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,6,8.88348,8936,"[0.500576913356781, 0.9390450119972229, 1.8443318605422974]","[2.0110249519348145, -0.34245607256889343, 0.521790087223053]",15592,[-0.3152204751968384],[2.4197494983673096],-10.111644,-11.574967,correct,True,-30.33493,-11.574967,intuitive,False,-10.759171,-11.574967,correct,True,8.24922,27023,"[-0.8455408811569214, -0.18120890855789185, 1.7825038433074951]","[-0.7382043600082397, 1.2002571821212769, -0.4839659333229065]",19310,[0.275084912776947],[0.718856155872345],-11.830958,-12.123461,correct,True,-35.492874,-12.123461,intuitive,False,-13.244085,-12.123461,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,7,8.747938,3363,"[1.4132884740829468, 0.6633177399635315, 1.7350215911865234]","[1.537083625793457, -1.0864168405532837, -0.012196099385619164]",5834,[0.8601194024085999],[-2.5139288902282715],-9.92887,-10.3536625,correct,True,-29.78661,-10.3536625,intuitive,False,-9.800495,-10.3536625,correct,True,8.592886,28098,"[-1.0364727973937988, 0.3808209300041199, 1.2540255784988403]","[1.470115065574646, 1.4545338153839111, 1.008509635925293]",17213,[0.5324166417121887],[-2.0011725425720215],-12.006954,-11.782814,intuitive,False,-36.020863,-11.782814,intuitive,False,-13.351703,-11.782814,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,8,8.785777,1192,"[1.9877461194992065, 0.0029157204553484917, 1.5031869411468506]","[-1.9218111038208008, 0.21803078055381775, 1.1017287969589233]",13523,[-0.5304954051971436],[2.6101233959198],-9.822955,-11.430856,correct,True,-29.468866,-11.430856,intuitive,False,-8.912614,-11.430856,correct,True,8.913144,21628,"[-0.3670778274536133, 0.9540106058120728, 1.4966870546340942]","[-1.7520158290863037, 0.176310732960701, 1.4789777994155884]",20856,[-0.27416983246803284],[2.3890528678894043],-11.326039,-12.069264,correct,True,-33.97812,-12.069264,intuitive,False,-12.162172,-12.069264,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,9,9.084976,5974,"[0.9375503659248352, 0.1058678850531578, 1.7236098051071167]","[0.8269505500793457, 1.0208038091659546, 0.6943259239196777]",7414,[0.7034062147140503],[1.3908933401107788],-10.2305765,-10.484091,correct,True,-30.69173,-10.484091,intuitive,False,-10.249947,-10.484091,correct,True,8.826144,26492,"[-0.9344509243965149, 0.9732868671417236, 1.919218897819519]","[0.5603896975517273, 0.4104917645454407, -0.4902154803276062]",14219,[0.5839214324951172],[-0.2514147162437439],-11.378213,-11.33371,intuitive,False,-34.13464,-11.33371,intuitive,False,-12.852083,-11.33371,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,10,9.047551,3702,"[1.2325505018234253, 0.6574005484580994, 1.8493396043777466]","[-2.2321383953094482, -0.8959892988204956, 1.6776365041732788]",3510,[1.2802304029464722],[-2.0052309036254883],-9.922368,-9.743561,intuitive,False,-29.767105,-9.743561,intuitive,False,-9.791241,-9.743561,intuitive,False,8.496716,22094,"[-0.6664081811904907, 1.0846810340881348, 1.5636399984359741]","[-0.827958881855011, 3.723151922225952, -0.8792558312416077]",12005,[0.45030584931373596],[0.030837278813123703],-11.260146,-11.142584,intuitive,False,-33.780437,-11.142584,intuitive,False,-12.259298,-11.142584,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,11,9.086343,10529,"[0.24847102165222168, 0.11949866265058517, 2.3595798015594482]","[-0.43830063939094543, 2.588811159133911, 1.0914404392242432]",9416,[0.390328973531723],[-1.1333519220352173],-10.489294,-10.772995,correct,True,-31.467882,-10.772995,intuitive,False,-10.914853,-10.772995,intuitive,False,8.677572,25258,"[-0.8951049447059631, 2.592355728149414, 1.104710340499878]","[-1.682134747505188, 2.536759376525879, 1.3078758716583252]",13812,[0.43292802572250366],[0.12731406092643738],-11.243833,-11.331442,correct,True,-33.7315,-11.331442,intuitive,False,-12.659475,-11.331442,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,12,8.950856,9923,"[0.0644502267241478, 1.295026421546936, 2.553830862045288]","[-0.17878073453903198, 1.4410136938095093, -1.5795388221740723]",11017,[-0.07368908077478409],[-1.1285645961761475],-9.957364,-11.0147915,correct,True,-29.872093,-11.0147915,intuitive,False,-10.876652,-11.0147915,correct,True,8.112896,28088,"[-1.3813804388046265, 3.404622793197632, 1.5121641159057617]","[0.00822202768176794, 1.042665958404541, 0.07602546364068985]",13996,[0.4303758144378662],[-1.1537991762161255],-11.06482,-11.449377,correct,True,-33.19446,-11.449377,intuitive,False,-13.261133,-11.449377,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,13,8.236504,10569,"[-0.012330533936619759, 1.8187998533248901, 1.662326693534851]","[0.7012675404548645, -2.658146381378174, 0.9715734720230103]",14854,[-0.5265373587608337],[4.222485065460205],-10.219602,-11.632307,correct,True,-30.658804,-11.632307,intuitive,False,-11.118101,-11.632307,correct,True,8.418892,27144,"[-1.2486423254013062, 3.5244600772857666, 1.3663450479507446]","[0.6928411722183228, -0.3748471438884735, 0.9152881503105164]",17714,[-0.011209055781364441],[1.0167409181594849],-10.966252,-11.780593,correct,True,-32.898758,-11.780593,intuitive,False,-13.018025,-11.780593,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,14,8.575734,10490,"[0.29598161578178406, 0.5041871070861816, 1.868876338005066]","[-1.6294090747833252, 0.2845967710018158, 4.283182144165039]",3825,[1.3793895244598389],[1.3324863910675049],-10.633696,-9.950569,intuitive,False,-31.901087,-9.950569,intuitive,False,-11.033977,-9.950569,intuitive,False,7.8743043,24738,"[-0.9469754695892334, 3.0805277824401855, 1.54500150680542]","[-1.8402925729751587, -2.2893929481506348, 4.278138160705566]",13810,[0.30077409744262695],[0.22465696930885315],-10.798442,-11.451658,correct,True,-32.395325,-11.451658,intuitive,False,-12.699408,-11.451658,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,15,7.997109,15500,"[-0.4124586284160614, 0.5866625905036926, 3.3083701133728027]","[-0.7437615394592285, 0.4200495779514313, 3.3260960578918457]",1929,[1.786245584487915],[11.850915908813477],-10.3151245,-9.525709,intuitive,False,-30.945374,-9.525709,intuitive,False,-11.724412,-9.525709,intuitive,False,7.7450776,28784,"[-1.4753676652908325, 2.1589391231536865, 3.1644718647003174]","[0.5159077644348145, -0.9925392270088196, 3.5172109603881836]",15519,[0.3514707088470459],[-1.0283280611038208],-10.884259,-11.672548,correct,True,-32.65278,-11.672548,intuitive,False,-13.499387,-11.672548,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,16,7.9633784,21284,"[-0.7036427855491638, 0.7278336882591248, 4.389984130859375]","[0.6254518032073975, 1.7615066766738892, 0.08409341424703598]",7,[6.85041618347168],[3.866806983947754],-10.1843,-4.822982,intuitive,False,-30.5529,-4.822982,intuitive,False,-12.377041,-4.822982,intuitive,False,6.656251,26873,"[-1.1407029628753662, 1.625950574874878, 4.2209954261779785]","[0.07566667348146439, 0.8032047748565674, -0.301544189453125]",18822,[-0.06178375333547592],[-1.2335790395736694],-10.715081,-12.278373,correct,True,-32.145245,-12.278373,intuitive,False,-13.357292,-12.278373,intuitive,False,The capital
capitals-recall,24,state,Michigan,Lansing,Detroit,,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,The capital of Michigan is,17,6.894333,16085,"[-0.38506436347961426, 1.4154335260391235, 4.0640974044799805]","[0.46482643485069275, 0.9356093406677246, 5.246703624725342]",5,[7.706606388092041],[-1.0215703248977661],-9.996064,-4.0214267,intuitive,False,-29.988192,-4.0214267,intuitive,False,-12.113098,-4.0214267,intuitive,False,3.9292703,24132,"[-0.8870289325714111, 1.7481492757797241, 3.73177433013916]","[-0.440323144197464, -2.1834380626678467, 4.423566818237305]",22110,[-0.6182119250297546],[0.6056757569313049],-11.624184,-13.603233,correct,True,-34.87255,-13.603233,intuitive,False,-13.87205,-13.603233,intuitive,False,The capital
